geneid,chrom,mean_coverage_genome,coding_exons_genome,proportion of coding exons with coverage below 20_genome,mean_coverage_exome,coding_exons_exome,proportion of coding exons with coverage below 20_exome,Gene % GC content,Gene name,Mim Number,Gene Symbols,Gene Name,Approved Symbol,Entrez Gene ID,Ensembl Gene ID,Comments,Phenotypes,genomes any exon < 20,exomes any exon < 20,routinely tested disease,gene name
ENSG00000002330,11,33.25,"[34.98, 30.82, 33.95]",0,42.76,"[45.74, 9.86, 72.68]",33.33333333,53.92,BAD,603167,"BAD, BCL2L8",BCL1 antagonist of cell death,BAD,572,ENSG00000002330,,,,",9.86",,
ENSG00000004776,19,31.96333333,"[29.38, 31.98, 34.53]",0,30.98666667,"[16.94, 34.98, 41.04]",33.33333333,62.56,HSPB6,610695,"HSPB6, HSP20",Heat-shock 27kD protein 6,HSPB6,126393,ENSG00000004776,,,,",16.94",,
ENSG00000005513,16,32.29666667,"[28.67, 36.24, 31.98]",0,28.87333333,"[11.07, 39.94, 35.61]",33.33333333,64.79,SOX8,605923,SOX8,SRY-box 8,SOX8,30812,ENSG00000005513,,,,",11.07",,
ENSG00000005801,11,33.51666667,"[34.26, 32.05, 33.26, 34.05, 34.27, 33.21]",0,44.61333333,"[79.0, 30.23, 16.54, 69.1, 55.67, 17.14]",33.33333333,41.43,ZNF195,602187,ZNF195,Zinc finger protein-195,ZNF195,7748,ENSG00000005801,,,,",16.54,17.14",,
ENSG00000007520,16,33.485,"[35.72, 34.14, 34.85, 34.18, 32.87, 29.15]",0,45.46333333,"[67.84, 69.79, 43.03, 70.73, 19.14, 2.25]",33.33333333,62.57,TSR3,617058,TSR3,"TSR3, aminocarboxypropyl transferase ribosome maturation factor",TSR3,115939,ENSG00000007520,,,,",19.14,2.25",,
ENSG00000008128,1,22.04157895,"[5.86, 5.23, 25.06, 33.96, 31.2, 30.45, 30.17, 28.21, 11.4, 25.37, 21.03, 4.07, 4.24, 3.9, 6.64, 50.97, 50.21, 32.51, 18.31]",42.10526316,38.02789474,"[1.65, 3.25, 48.68, 71.63, 50.15, 69.7, 57.33, 86.26, 10.46, 57.47, 22.88, 2.93, 4.13, 1.27, 5.9, 82.59, 58.59, 59.03, 28.63]",36.84210526,51.99,CDK11A,116951,"CDK11A, CDC2L2",Cyclin-dependent kinase 11A,CDK11A,728642,ENSG00000008128,,,",5.86,5.23,11.4,4.07,4.24,3.9,6.64,18.31",",1.65,3.25,10.46,2.93,4.13,1.27,5.9",,
ENSG00000063515,22,27.97333333,"[35.26, 29.47, 19.19]",33.33333333,15.60666667,"[25.57, 20.3, 0.95]",33.33333333,70.67,GSC2,601845,"GSC2, GSCL",Goosecoid homeobox 2,GSC2,2928,ENSG00000063515,,,",19.19",",0.95",,
ENSG00000066735,14,33.512,"[27.75, 33.04, 32.69, 33.36, 33.85, 33.8, 33.84, 34.61, 35.68, 35.26, 33.59, 35.46, 33.7, 33.44, 32.61]",0,29.13666667,"[1.13, 12.64, 42.67, 27.79, 24.86, 52.35, 47.02, 47.85, 31.49, 40.84, 22.28, 34.71, 18.54, 14.08, 18.8]",33.33333333,63.77,KIF26A,613231,"KIF26A, KIAA1236",Kinesin family member 26A,KIF26A,26153,ENSG00000066735,,,,",1.13,12.64,18.54,14.08,18.8",,
ENSG00000070388,19,30.32,"[29.78, 28.35, 32.83]",0,40.87666667,"[4.38, 63.35, 54.9]",33.33333333,68.05,FGF22,605831,FGF22,Fibroblast growth factor 22,FGF22,27006,ENSG00000070388,,,,",4.38",,
ENSG00000070404,19,31.278,"[24.48, 33.6, 29.63, 33.33, 35.35]",0,34.256,"[3.34, 68.75, 1.65, 49.01, 48.53]",40,64.96,FSTL3,605343,"FSTL3, FLRG",Follistatin-like 3,FSTL3,10272,ENSG00000070404,,,,",3.34,1.65",,
ENSG00000072694,1,23.45375,"[14.24, 3.9, 31.07, 29.81, 9.39, 32.76, 32.01, 34.45]",37.5,40.3225,"[2.81, 0.31, 83.99, 52.37, 12.45, 32.94, 66.75, 70.96]",37.5,44.75,FCGR2B,604590,"FCGR2B, CD32","Fc fragment of IgG, low affinity IIb, receptor for",FCGR2B,2213,ENSG00000072694,,"{Malaria, resistance to}, 611162 (3); {Systemic lupus erythematosus, susceptibility to}, 152700 (3), Autosomal dominant",",14.24,3.9,9.39",",2.81,0.31,12.45",,
ENSG00000073150,22,30.35,"[25.01, 33.69, 32.35]",0,31.36333333,"[12.63, 36.68, 44.78]",33.33333333,64.18,PANX2,608421,"PANX2, PX2",Pannexin 2,PANX2,56666,ENSG00000073150,,,,",12.63",,
ENSG00000074071,16,35.91,"[34.26, 37.59, 35.88]",0,50.94,"[86.69, 59.14, 6.99]",33.33333333,65.4,MRPS34,611994,"MRPS34, MRPS12, COXPD32",Mitochondrial ribosomal protein S34,MRPS34,65993,ENSG00000074071,,"Combined oxidative phosphorylation deficiency 32, 617664 (3), Autosomal recessive",,",6.99",,
ENSG00000075388,11,33.29333333,"[34.34, 34.96, 30.58]",0,48.83333333,"[84.07, 49.39, 13.04]",33.33333333,66.44,FGF4,164980,"FGF4, HSTF1",Fibroblast growth factor-4 (heparin secretory transforming protein-1; Kaposi sarcoma oncogene),FGF4,2249,ENSG00000075388,coamplified with FGF3 in melanoma,,,",13.04",,
