geneid,chrom,mean_coverage_genome,coding_exons_genome,proportion of coding exons with coverage below 20_genome,mean_coverage_exome,coding_exons_exome,proportion of coding exons with coverage below 20_exome,Gene % GC content,Gene name,Mim Number,Gene Symbols,Gene Name,Approved Symbol,Entrez Gene ID,Ensembl Gene ID,Comments,Phenotypes,genomes any exon < 20,exomes any exon < 20,routinely tested disease,gene name
ENSG00000015568,2,5.723478261,"[13.56, 5.41, 5.41, 5.41, 5.41, 5.41, 5.41, 5.41, 5.38, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.34, 5.32, 5.31, 5.31, 5.31]",100,0.004347826,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",100,39.34,RGPD5,612708,"RGPD5, RGP5, BS63",RANBP2-like and GRIP domain-containing protein 5,RGPD5,84220,ENSG00000015568,,,",13.56,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.38,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.34,5.32,5.31,5.31,5.31",",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
ENSG00000040608,22,29.02,"[36.07, 21.97]",0,36.185,"[69.42, 2.95]",50,60.45,RTN4R,605566,"RTN4R, NOGOR",NOGO receptor (reticulon 4 receptor),RTN4R,65078,ENSG00000040608,,"{Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant",,",2.95",,
ENSG00000050327,7,20.35928571,"[17.82, 16.46, 6.28, 3.29, 41.87, 7.28, 14.47, 27.68, 22.7, 15.63, 23.25, 21.38, 32.78, 34.14]",50,33.15285714,"[31.11, 33.31, 9.43, 0.7, 81.82, 1.41, 9.04, 32.01, 71.02, 13.89, 6.4, 18.67, 72.38, 82.95]",50,48.06,ARHGEF5,600888,"ARHGEF5, TIM",Rho guanine nucleotide exchange factor-5 (oncogene TIM),ARHGEF5,7984,ENSG00000050327,,,",17.82,16.46,6.28,3.29,7.28,14.47,15.63",",9.43,0.7,1.41,9.04,13.89,6.4,18.67",,
ENSG00000051596,5,19.98666667,"[15.75, 9.06, 10.75, 22.31, 13.61, 48.44]",66.66666667,30.275,"[55.86, 5.12, 9.55, 46.71, 16.6, 47.81]",50,43.01,THOC3,606929,"THOC3, TEX1","THO complex 3 (Tex1, yeast, homolog of)",THOC3,84321,ENSG00000051596,,,",15.75,9.06,10.75,13.61",",5.12,9.55,16.6",,
ENSG00000069764,16,13.9275,"[33.95, 10.59, 5.68, 5.49]",75,19.8125,"[74.98, 4.24, 0.0, 0.03]",75,47.91,PLA2G10,603603,"PLA2G10, SPLA2, GXSPLA2","Phospholipase A2, group X",PLA2G10,8399,ENSG00000069764,,,",10.59,5.68,5.49",",4.24,0,0.03",,
ENSG00000072444,10,12.24055556,"[5.25, 22.86, 28.01, 21.9, 5.74, 4.5, 4.5, 4.5, 5.33, 24.84, 18.7, 7.82, 8.57, 19.58, 7.24, 9.27, 8.88, 12.84]",77.77777778,19.12333333,"[1.44, 65.58, 62.06, 0.0, 2.12, 0.0, 0.0, 0.0, 2.99, 80.71, 28.45, 5.31, 22.96, 53.56, 0.18, 4.71, 0.03, 14.12]",66.66666667,36.61,ASAH2C,,,,,,,,,",5.25,5.74,4.5,4.5,4.5,5.33,18.7,7.82,8.57,19.58,7.24,9.27,8.88,12.84",",1.44,0,2.12,0,0,0,2.99,5.31,0.18,4.71,0.03,14.12",,
ENSG00000073969,17,17.84380952,"[3.66, 3.63, 1.23, 7.9, 1.04, 4.17, 3.89, 0.32, 0.23, 20.17, 7.75, 24.41, 33.73, 33.75, 34.34, 33.96, 30.61, 33.92, 33.57, 34.47, 27.97]",47.61904762,27.09047619,"[0.0, 0.01, 1.09, 2.09, 0.37, 1.05, 0.81, 0.01, 0.03, 41.98, 1.67, 18.31, 51.11, 51.87, 46.23, 86.06, 52.25, 61.55, 52.28, 56.96, 43.17]",52.38095238,38.62,NSF,601633,NSF,N-ethylmaleimide-sensitive factor,NSF,4905,ENSG00000073969,,,",3.66,3.63,1.23,7.9,1.04,4.17,3.89,0.32,0.23,7.75",",0,0.01,1.09,2.09,0.37,1.05,0.81,0.01,0.03,1.67,18.31",,
ENSG00000090971,19,31.935,"[32.41, 31.46]",0,26.8,"[39.72, 13.88]",50,66.08,NAT14,,,,,,,,,,",13.88",,
ENSG00000099290,10,11.29451613,"[32.21, 27.5, 31.4, 5.38, 3.33, 8.39, 4.3, 7.99, 6.05, 2.79, 9.0, 13.16, 18.66, 11.21, 5.77, 4.21, 9.7, 22.93, 16.17, 4.94, 6.03, 9.95, 5.47, 4.43, 1.02, 15.85, 15.29, 5.75, 12.68, 9.35, 19.22]",87.09677419,14.63709677,"[52.8, 50.05, 74.74, 1.94, 0.52, 0.96, 3.2, 8.24, 0.05, 0.5, 5.02, 10.62, 12.05, 11.3, 11.95, 3.23, 11.89, 58.7, 15.57, 0.8, 3.41, 13.67, 0.37, 1.74, 0.96, 22.53, 0.15, 2.61, 13.26, 10.7, 50.22]",80.64516129,42.59,FAM21A,,,,,,,,,",5.38,3.33,8.39,4.3,7.99,6.05,2.79,9,13.16,18.66,11.21,5.77,4.21,9.7,16.17,4.94,6.03,9.95,5.47,4.43,1.02,15.85,15.29,5.75,12.68,9.35,19.22",",1.94,0.52,0.96,3.2,8.24,0.05,0.5,5.02,10.62,12.05,11.3,11.95,3.23,11.89,15.57,0.8,3.41,13.67,0.37,1.74,0.96,0.15,2.61,13.26,10.7",,
ENSG00000099624,19,33.88,"[32.08, 33.88, 34.49, 35.07]",0,33.6475,"[18.1, 19.57, 51.92, 45.0]",50,62.94,ATP5D,603150,"ATP5F1D, ATP5D, MC5DN5",ATP synthase F1 subunit delta,ATP5F1D,513,ENSG00000099624,,"Mitochondrial complex V (ATP synthase) deficiency, 618120 (3), Autosomal recessive",,",18.1,19.57",,
