geneid,chrom,mean_coverage_genome,coding_exons_genome,proportion of coding exons with coverage below 20_genome,mean_coverage_exome,coding_exons_exome,proportion of coding exons with coverage below 20_exome,Gene % GC content,Gene name,Mim Number,Gene Symbols,Gene Name,Approved Symbol,Entrez Gene ID,Ensembl Gene ID,Comments,Phenotypes,genomes any exon < 20,exomes any exon < 20,routinely tested disease,gene name
ENSG00000008128,1,22.04157895,"[5.86, 5.23, 25.06, 33.96, 31.2, 30.45, 30.17, 28.21, 11.4, 25.37, 21.03, 4.07, 4.24, 3.9, 6.64, 50.97, 50.21, 32.51, 18.31]",42.10526316,38.02789474,"[1.65, 3.25, 48.68, 71.63, 50.15, 69.7, 57.33, 86.26, 10.46, 57.47, 22.88, 2.93, 4.13, 1.27, 5.9, 82.59, 58.59, 59.03, 28.63]",36.84210526,51.99,CDK11A,116951,"CDK11A, CDC2L2",Cyclin-dependent kinase 11A,CDK11A,728642,ENSG00000008128,,,",5.86,5.23,11.4,4.07,4.24,3.9,6.64,18.31",",1.65,3.25,10.46,2.93,4.13,1.27,5.9",,
ENSG00000015568,2,5.723478261,"[13.56, 5.41, 5.41, 5.41, 5.41, 5.41, 5.41, 5.41, 5.38, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.36, 5.34, 5.32, 5.31, 5.31, 5.31]",100,0.004347826,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",100,39.34,RGPD5,612708,"RGPD5, RGP5, BS63",RANBP2-like and GRIP domain-containing protein 5,RGPD5,84220,ENSG00000015568,,,",13.56,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.38,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.34,5.32,5.31,5.31,5.31",",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
ENSG00000050327,7,20.35928571,"[17.82, 16.46, 6.28, 3.29, 41.87, 7.28, 14.47, 27.68, 22.7, 15.63, 23.25, 21.38, 32.78, 34.14]",50,33.15285714,"[31.11, 33.31, 9.43, 0.7, 81.82, 1.41, 9.04, 32.01, 71.02, 13.89, 6.4, 18.67, 72.38, 82.95]",50,48.06,ARHGEF5,600888,"ARHGEF5, TIM",Rho guanine nucleotide exchange factor-5 (oncogene TIM),ARHGEF5,7984,ENSG00000050327,,,",17.82,16.46,6.28,3.29,7.28,14.47,15.63",",9.43,0.7,1.41,9.04,13.89,6.4,18.67",,
ENSG00000051596,5,19.98666667,"[15.75, 9.06, 10.75, 22.31, 13.61, 48.44]",66.66666667,30.275,"[55.86, 5.12, 9.55, 46.71, 16.6, 47.81]",50,43.01,THOC3,606929,"THOC3, TEX1","THO complex 3 (Tex1, yeast, homolog of)",THOC3,84321,ENSG00000051596,,,",15.75,9.06,10.75,13.61",",5.12,9.55,16.6",,
ENSG00000063515,22,27.97333333,"[35.26, 29.47, 19.19]",33.33333333,15.60666667,"[25.57, 20.3, 0.95]",33.33333333,70.67,GSC2,601845,"GSC2, GSCL",Goosecoid homeobox 2,GSC2,2928,ENSG00000063515,,,",19.19",",0.95",,
ENSG00000069764,16,13.9275,"[33.95, 10.59, 5.68, 5.49]",75,19.8125,"[74.98, 4.24, 0.0, 0.03]",75,47.91,PLA2G10,603603,"PLA2G10, SPLA2, GXSPLA2","Phospholipase A2, group X",PLA2G10,8399,ENSG00000069764,,,",10.59,5.68,5.49",",4.24,0,0.03",,
ENSG00000072444,10,12.24055556,"[5.25, 22.86, 28.01, 21.9, 5.74, 4.5, 4.5, 4.5, 5.33, 24.84, 18.7, 7.82, 8.57, 19.58, 7.24, 9.27, 8.88, 12.84]",77.77777778,19.12333333,"[1.44, 65.58, 62.06, 0.0, 2.12, 0.0, 0.0, 0.0, 2.99, 80.71, 28.45, 5.31, 22.96, 53.56, 0.18, 4.71, 0.03, 14.12]",66.66666667,36.61,ASAH2C,,,,,,,,,",5.25,5.74,4.5,4.5,4.5,5.33,18.7,7.82,8.57,19.58,7.24,9.27,8.88,12.84",",1.44,0,2.12,0,0,0,2.99,5.31,0.18,4.71,0.03,14.12",,
ENSG00000072694,1,23.45375,"[14.24, 3.9, 31.07, 29.81, 9.39, 32.76, 32.01, 34.45]",37.5,40.3225,"[2.81, 0.31, 83.99, 52.37, 12.45, 32.94, 66.75, 70.96]",37.5,44.75,FCGR2B,604590,"FCGR2B, CD32","Fc fragment of IgG, low affinity IIb, receptor for",FCGR2B,2213,ENSG00000072694,,"{Malaria, resistance to}, 611162 (3); {Systemic lupus erythematosus, susceptibility to}, 152700 (3), Autosomal dominant",",14.24,3.9,9.39",",2.81,0.31,12.45",,
ENSG00000073969,17,17.84380952,"[3.66, 3.63, 1.23, 7.9, 1.04, 4.17, 3.89, 0.32, 0.23, 20.17, 7.75, 24.41, 33.73, 33.75, 34.34, 33.96, 30.61, 33.92, 33.57, 34.47, 27.97]",47.61904762,27.09047619,"[0.0, 0.01, 1.09, 2.09, 0.37, 1.05, 0.81, 0.01, 0.03, 41.98, 1.67, 18.31, 51.11, 51.87, 46.23, 86.06, 52.25, 61.55, 52.28, 56.96, 43.17]",52.38095238,38.62,NSF,601633,NSF,N-ethylmaleimide-sensitive factor,NSF,4905,ENSG00000073969,,,",3.66,3.63,1.23,7.9,1.04,4.17,3.89,0.32,0.23,7.75",",0,0.01,1.09,2.09,0.37,1.05,0.81,0.01,0.03,1.67,18.31",,
ENSG00000077809,7,20.65515152,"[28.49, 32.8, 30.84, 32.97, 35.65, 34.02, 32.69, 33.76, 30.59, 32.7, 34.22, 4.88, 8.64, 26.53, 29.02, 4.83, 5.49, 24.37, 10.24, 31.61, 23.79, 4.4, 10.66, 10.82, 5.88, 1.11, 19.24, 22.83, 5.64, 15.2, 16.25, 13.57, 27.89]",45.45454545,32.62,"[64.16, 73.06, 30.62, 87.67, 81.46, 59.03, 65.49, 34.27, 60.94, 54.59, 29.76, 0.81, 1.68, 35.77, 70.75, 6.97, 0.59, 61.76, 3.38, 54.34, 36.21, 5.25, 2.32, 0.29, 0.52, 1.94, 33.48, 29.41, 0.07, 2.13, 27.47, 32.96, 27.31]",36.36363636,42.77,GTF2I,,,,,,,,,",4.88,8.64,4.83,5.49,10.24,4.4,10.66,10.82,5.88,1.11,19.24,5.64,15.2,16.25,13.57",",0.81,1.68,6.97,0.59,3.38,5.25,2.32,0.29,0.52,1.94,0.07,2.13",,
